state,state_fips,year,employment_rate,edu_bachelors_share,edu_some_college_share,edu_hs_grad_share,edu_less_than_hs_share
Massachusetts,25,2017,0.24481404603567036,0.21899999999999997,0.248,0.332,0.201
Michigan,26,2017,0.22166525167882944,0.14800000000000002,0.31,0.363,0.179
Minnesota,27,2017,0.30217732735382136,0.188,0.303,0.35900000000000004,0.151
Mississippi,28,2017,0.1934626719694642,0.112,0.279,0.354,0.254
Missouri,29,2017,0.24725140016241046,0.147,0.278,0.375,0.2
Montana,30,2017,0.2879116486672539,0.18100000000000002,0.319,0.366,0.13400000000000004
Nebraska,31,2017,0.32917340983188875,0.16799999999999998,0.33,0.35200000000000004,0.15
Nevada,32,2017,0.2579938409185597,0.163,0.334,0.332,0.171
New Hampshire,33,2017,0.27997533586203033,0.192,0.28800000000000003,0.372,0.14800000000000002
New Jersey,34,2017,0.23321666713426667,0.207,0.22799999999999998,0.361,0.20500000000000002
New Mexico,35,2017,0.2227043682208484,0.159,0.306,0.307,0.22799999999999998
New York,36,2017,0.21553989263305723,0.19,0.232,0.32799999999999996,0.25
North Carolina,37,2017,0.22077421570636876,0.161,0.29,0.33,0.22
North Dakota,38,2017,0.3631804038021625,0.162,0.336,0.35300000000000004,0.14900000000000002
Ohio,39,2017,0.24166378688698145,0.13499999999999998,0.262,0.41200000000000003,0.19100000000000003
Oklahoma,40,2017,0.26172316264933093,0.147,0.311,0.354,0.187
Oregon,41,2017,0.23886095301246985,0.192,0.375,0.293,0.14
